,,insert,search
10,1024,0.000838,0.018325
11,2048,0.003029,0.012875
12,4096,0.011974,0.013994
13,8192,0.056434,0.014065
14,16384,0.181018,0.015249
15,32768,0.731302,0.017882
16,65536,3.04331,0.020965
17,131072,11.6934,0.022932
18,262144,45.1323,0.024404
19,524288,173.612,0.027708
20,1048576,721.054,0.0326
21,2097152,2930.01,0.042833
